CMDLINE /Library/Frameworks/Python.framework/Versions/3.8/bin/python3 main.py
MEM 0.281250 1689558990.7390
MEM 24.750000 1689558990.8436
MEM 32.234375 1689558990.9522
MEM 41.968750 1689558991.0558
MEM 50.453125 1689558991.1605
MEM 62.906250 1689558991.2647
MEM 70.968750 1689558991.3668
MEM 82.218750 1689558991.4720
MEM 92.546875 1689558991.5772
MEM 114.656250 1689558991.6824
MEM 139.609375 1689558991.7876
MEM 167.656250 1689558991.8928
MEM 181.031250 1689558991.9979
MEM 193.921875 1689558992.1021
MEM 205.953125 1689558992.2072
MEM 219.406250 1689558992.3124
MEM 230.406250 1689558992.4138
MEM 237.625000 1689558992.5174
MEM 244.562500 1689558992.6243
MEM 252.890625 1689558992.7273
MEM 263.109375 1689558992.8345
MEM 271.687500 1689558992.9356
MEM 281.828125 1689558993.0399
MEM 285.921875 1689558993.1443
MEM 293.500000 1689558993.2495
MEM 300.125000 1689558993.3538
MEM 309.093750 1689558993.4552
MEM 314.812500 1689558993.5592
MEM 314.828125 1689558993.6644
MEM 313.328125 1689558993.7654
